Date:	7/23/2012						
measured by:	Omer	 System:	ambient probe station				
Lamp at 65 W; cut .5 into two pieces to see if one defect dominates							
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 1 Dark	 	.5 1 Light	 	.5 II Dark	 	.5 II Light
-0.2500	-5.72E-6	-0.2500	-1.20E-3	-0.2500	-1.04E-5	-0.2500	-1.50E-3
-0.2400	-5.50E-6	-0.2400	-1.18E-3	-0.2400	-1.00E-5	-0.2400	-1.48E-3
-0.2300	-5.29E-6	-0.2300	-1.17E-3	-0.2300	-9.66E-6	-0.2300	-1.45E-3
-0.2200	-5.09E-6	-0.2200	-1.15E-3	-0.2200	-9.30E-6	-0.2200	-1.44E-3
-0.2100	-4.88E-6	-0.2100	-1.14E-3	-0.2100	-8.93E-6	-0.2100	-1.42E-3
-0.2000	-4.67E-6	-0.2000	-1.12E-3	-0.2000	-8.57E-6	-0.2000	-1.40E-3
-0.1900	-4.46E-6	-0.1900	-1.11E-3	-0.1900	-8.21E-6	-0.1900	-1.38E-3
-0.1800	-4.26E-6	-0.1800	-1.09E-3	-0.1800	-7.86E-6	-0.1800	-1.36E-3
-0.1700	-4.05E-6	-0.1700	-1.08E-3	-0.1700	-7.50E-6	-0.1700	-1.34E-3
-0.1600	-3.84E-6	-0.1600	-1.06E-3	-0.1600	-7.14E-6	-0.1600	-1.32E-3
-0.1500	-3.62E-6	-0.1500	-1.05E-3	-0.1500	-6.79E-6	-0.1500	-1.31E-3
-0.1400	-3.41E-6	-0.1400	-1.03E-3	-0.1400	-6.43E-6	-0.1400	-1.29E-3
-0.1300	-3.19E-6	-0.1300	-1.02E-3	-0.1300	-6.06E-6	-0.1300	-1.26E-3
-0.1200	-2.97E-6	-0.1200	-1.00E-3	-0.1200	-5.69E-6	-0.1200	-1.24E-3
-0.1100	-2.75E-6	-0.1100	-9.86E-4	-0.1100	-5.32E-6	-0.1100	-1.22E-3
-0.1000	-2.52E-6	-0.1000	-9.71E-4	-0.1000	-4.93E-6	-0.1000	-1.20E-3
-0.0900	-2.29E-6	-0.0900	-9.55E-4	-0.0900	-4.54E-6	-0.0900	-1.18E-3
-0.0800	-2.05E-6	-0.0800	-9.38E-4	-0.0800	-4.13E-6	-0.0800	-1.16E-3
-0.0700	-1.81E-6	-0.0700	-9.22E-4	-0.0700	-3.70E-6	-0.0700	-1.14E-3
-0.0600	-1.56E-6	-0.0600	-9.05E-4	-0.0600	-3.25E-6	-0.0600	-1.12E-3
-0.0500	-1.31E-6	-0.0500	-8.88E-4	-0.0500	-2.78E-6	-0.0500	-1.10E-3
-0.0400	-1.05E-6	-0.0400	-8.69E-4	-0.0400	-2.28E-6	-0.0400	-1.08E-3
-0.0300	-7.93E-7	-0.0300	-8.51E-4	-0.0300	-1.75E-6	-0.0300	-1.06E-3
-0.0200	-5.31E-7	-0.0200	-8.34E-4	-0.0200	-1.19E-6	-0.0200	-1.03E-3
-0.0100	-2.63E-7	-0.0100	-8.16E-4	-0.0100	-5.99E-7	-0.0100	-1.01E-3
0.0000	5.94E-9	0.0000	-7.97E-4	0.0000	1.84E-8	0.0000	-9.89E-4
0.0100	2.78E-7	0.0100	-7.79E-4	0.0100	6.61E-7	0.0100	-9.69E-4
0.0200	5.54E-7	0.0200	-7.61E-4	0.0200	1.32E-6	0.0200	-9.48E-4
0.0300	8.37E-7	0.0300	-7.41E-4	0.0300	2.00E-6	0.0300	-9.24E-4
0.0400	1.12E-6	0.0400	-7.22E-4	0.0400	2.68E-6	0.0400	-9.01E-4
0.0500	1.42E-6	0.0500	-7.02E-4	0.0500	3.36E-6	0.0500	-8.78E-4
0.0600	1.73E-6	0.0600	-6.82E-4	0.0600	4.02E-6	0.0600	-8.54E-4
0.0700	2.06E-6	0.0700	-6.60E-4	0.0700	4.67E-6	0.0700	-8.31E-4
0.0800	2.42E-6	0.0800	-6.39E-4	0.0800	5.30E-6	0.0800	-8.05E-4
0.0900	2.82E-6	0.0900	-6.18E-4	0.0900	5.91E-6	0.0900	-7.80E-4
0.1000	3.27E-6	0.1000	-5.97E-4	0.1000	6.49E-6	0.1000	-7.57E-4
0.1100	3.81E-6	0.1100	-5.75E-4	0.1100	7.06E-6	0.1100	-7.34E-4
0.1200	4.46E-6	0.1200	-5.53E-4	0.1200	7.62E-6	0.1200	-7.09E-4
0.1300	5.26E-6	0.1300	-5.30E-4	0.1300	8.17E-6	0.1300	-6.84E-4
0.1400	6.29E-6	0.1400	-5.07E-4	0.1400	8.72E-6	0.1400	-6.59E-4
0.1500	7.63E-6	0.1500	-4.83E-4	0.1500	9.29E-6	0.1500	-6.33E-4
0.1600	9.38E-6	0.1600	-4.58E-4	0.1600	9.88E-6	0.1600	-6.08E-4
0.1700	1.17E-5	0.1700	-4.34E-4	0.1700	1.05E-5	0.1700	-5.83E-4
0.1800	1.48E-5	0.1800	-4.08E-4	0.1800	1.12E-5	0.1800	-5.58E-4
0.1900	1.89E-5	0.1900	-3.81E-4	0.1900	1.20E-5	0.1900	-5.32E-4
0.2000	2.44E-5	0.2000	-3.54E-4	0.2000	1.29E-5	0.2000	-5.07E-4
0.2100	3.16E-5	0.2100	-3.25E-4	0.2100	1.40E-5	0.2100	-4.83E-4
0.2200	4.11E-5	0.2200	-2.95E-4	0.2200	1.53E-5	0.2200	-4.59E-4
0.2300	5.35E-5	0.2300	-2.62E-4	0.2300	1.70E-5	0.2300	-4.36E-4
0.2400	6.96E-5	0.2400	-2.28E-4	0.2400	1.91E-5	0.2400	-4.12E-4
0.2500	8.99E-5	0.2500	-1.90E-4	0.2500	2.17E-5	0.2500	-3.89E-4
0.2600	1.15E-4	0.2600	-1.48E-4	0.2600	2.51E-5	0.2600	-3.66E-4
0.2700	1.47E-4	0.2700	-1.02E-4	0.2700	2.96E-5	0.2700	-3.43E-4
0.2800	1.85E-4	0.2800	-5.03E-5	0.2800	3.52E-5	0.2800	-3.19E-4
0.2900	2.30E-4	0.2900	7.12E-6	0.2900	4.24E-5	0.2900	-2.95E-4
0.3000	2.82E-4	0.3000	7.11E-5	0.3000	5.17E-5	0.3000	-2.69E-4
0.3100	3.42E-4	0.3100	1.42E-4	0.3100	6.34E-5	0.3100	-2.43E-4
0.3200	4.10E-4	0.3200	2.20E-4	0.3200	7.80E-5	0.3200	-2.15E-4
0.3300	4.85E-4	0.3300	3.05E-4	0.3300	9.57E-5	0.3300	-1.84E-4
0.3400	5.68E-4	0.3400	3.97E-4	0.3400	1.17E-4	0.3400	-1.51E-4
0.3500	6.58E-4	0.3500	4.97E-4	0.3500	1.43E-4	0.3500	-1.15E-4
0.3600	7.53E-4	0.3600	6.03E-4	0.3600	1.73E-4	0.3600	-7.44E-5
0.3700	8.55E-4	0.3700	7.15E-4	0.3700	2.09E-4	0.3700	-2.98E-5
0.3800	9.64E-4	0.3800	8.34E-4	0.3800	2.49E-4	0.3800	1.94E-5
0.3900	1.08E-3	0.3900	9.57E-4	0.3900	2.94E-4	0.3900	7.25E-5
0.4000	1.20E-3	0.4000	1.09E-3	0.4000	3.45E-4	0.4000	1.30E-4
0.4100	1.32E-3	0.4100	1.22E-3	0.4100	4.00E-4	0.4100	1.94E-4
0.4200	1.45E-3	0.4200	1.36E-3	0.4200	4.61E-4	0.4200	2.61E-4
0.4300	1.58E-3	0.4300	1.50E-3	0.4300	5.26E-4	0.4300	3.32E-4
0.4400	1.72E-3	0.4400	1.65E-3	0.4400	5.96E-4	0.4400	4.09E-4
0.4500	1.85E-3	0.4500	1.80E-3	0.4500	6.71E-4	0.4500	4.90E-4
0.4600	2.00E-3	0.4600	1.95E-3	0.4600	7.49E-4	0.4600	5.76E-4
0.4700	2.14E-3	0.4700	2.11E-3	0.4700	8.32E-4	0.4700	6.65E-4
0.4800	2.29E-3	0.4800	2.27E-3	0.4800	9.19E-4	0.4800	7.57E-4
0.4900	2.44E-3	0.4900	2.43E-3	0.4900	1.01E-3	0.4900	8.53E-4
0.5000	2.60E-3	0.5000	2.60E-3	0.5000	1.10E-3	0.5000	9.55E-4
0.5100	2.75E-3	0.5100	2.77E-3	0.5100	1.20E-3	0.5100	1.06E-3
0.5200	2.91E-3	0.5200	2.94E-3	0.5200	1.30E-3	0.5200	1.16E-3
0.5300	3.07E-3	0.5300	3.11E-3	0.5300	1.41E-3	0.5300	1.28E-3
0.5400	3.23E-3	0.5400	3.28E-3	0.5400	1.52E-3	0.5400	1.39E-3
0.5500	3.40E-3	0.5500	3.46E-3	0.5500	1.63E-3	0.5500	1.51E-3
0.5600	3.56E-3	0.5600	3.64E-3	0.5600	1.74E-3	0.5600	1.63E-3
0.5700	3.73E-3	0.5700	3.82E-3	0.5700	1.86E-3	0.5700	1.76E-3
0.5800	3.90E-3	0.5800	4.00E-3	0.5800	1.98E-3	0.5800	1.89E-3
0.5900	4.07E-3	0.5900	4.19E-3	0.5900	2.10E-3	0.5900	2.02E-3
0.6000	4.24E-3	0.6000	4.37E-3	0.6000	2.23E-3	0.6000	2.16E-3
0.6100	4.42E-3	0.6100	4.56E-3	0.6100	2.36E-3	0.6100	2.30E-3
0.6200	4.59E-3	0.6200	4.75E-3	0.6200	2.49E-3	0.6200	2.45E-3
0.6300	4.76E-3	0.6300	4.94E-3	0.6300	2.63E-3	0.6300	2.60E-3
0.6400	4.94E-3	0.6400	5.13E-3	0.6400	2.77E-3	0.6400	2.75E-3
0.6500	5.12E-3	0.6500	5.32E-3	0.6500	2.91E-3	0.6500	2.91E-3
0.6600	5.30E-3	0.6600	5.51E-3	0.6600	3.06E-3	0.6600	3.07E-3
0.6700	5.48E-3	0.6700	5.71E-3	0.6700	3.21E-3	0.6700	3.23E-3
0.6800	5.66E-3	0.6800	5.90E-3	0.6800	3.36E-3	0.6800	3.40E-3
0.6900	5.85E-3	0.6900	6.10E-3	0.6900	3.52E-3	0.6900	3.57E-3
0.7000	6.03E-3	0.7000	6.30E-3	0.7000	3.68E-3	0.7000	3.75E-3
0.7100	6.22E-3	0.7100	6.50E-3	0.7100	3.84E-3	0.7100	3.93E-3
0.7200	6.40E-3	0.7200	6.69E-3	0.7200	4.01E-3	0.7200	4.11E-3
0.7300	6.59E-3	0.7300	6.90E-3	0.7300	4.18E-3	0.7300	4.31E-3
0.7400	6.78E-3	0.7400	7.10E-3	0.7400	4.35E-3	0.7400	4.50E-3
0.7500	6.97E-3	0.7500	7.30E-3	0.7500	4.52E-3	0.7500	4.70E-3
0.7600	7.17E-3	0.7600	7.50E-3	0.7600	4.71E-3	0.7600	4.90E-3
0.7700	7.36E-3	0.7700	7.70E-3	0.7700	4.89E-3	0.7700	5.11E-3
0.7800	7.56E-3	0.7800	7.91E-3	0.7800	5.08E-3	0.7800	5.32E-3
0.7900	7.76E-3	0.7900	8.11E-3	0.7900	5.27E-3	0.7900	5.54E-3
0.8000	7.96E-3	0.8000	8.32E-3	0.8000	5.47E-3	0.8000	5.77E-3
0.8100	8.16E-3	0.8100	8.52E-3	0.8100	5.67E-3	0.8100	6.00E-3
0.8200	8.37E-3	0.8200	8.73E-3	0.8200	5.87E-3	0.8200	6.24E-3
0.8300	8.58E-3	0.8300	8.94E-3	0.8300	6.09E-3	0.8300	6.48E-3
0.8400	8.79E-3	0.8400	9.14E-3	0.8400	6.30E-3	0.8400	6.73E-3
0.8500	9.00E-3	0.8500	9.35E-3	0.8500	6.52E-3	0.8500	6.98E-3
0.8600	9.22E-3	0.8600	9.56E-3	0.8600	6.75E-3	0.8600	7.24E-3
0.8700	9.43E-3	0.8700	9.77E-3	0.8700	6.99E-3	0.8700	7.52E-3
0.8800	9.65E-3	0.8800	9.98E-3	0.8800	7.23E-3	0.8800	7.79E-3
0.8900	9.88E-3	0.8900	1.02E-2	0.8900	7.48E-3	0.8900	8.07E-3
0.9000	1.01E-2	0.9000	1.04E-2	0.9000	7.74E-3	0.9000	8.37E-3
0.9100	1.03E-2	0.9100	1.06E-2	0.9100	8.02E-3	0.9100	8.67E-3
0.9200	1.06E-2	0.9200	1.08E-2	0.9200	8.31E-3	0.9200	8.97E-3
0.9300	1.08E-2	0.9300	1.10E-2	0.9300	8.61E-3	0.9300	9.29E-3
0.9400	1.10E-2	0.9400	1.13E-2	0.9400	8.94E-3	0.9400	9.62E-3
0.9500	1.13E-2	0.9500	1.15E-2	0.9500	9.31E-3	0.9500	9.95E-3
0.9600	1.15E-2	0.9600	1.17E-2	0.9600	9.71E-3	0.9600	1.03E-2
0.9700	1.17E-2	0.9700	1.19E-2	0.9700	1.02E-2	0.9700	1.07E-2
0.9800	1.20E-2	0.9800	1.21E-2	0.9800	1.07E-2	0.9800	1.10E-2
0.9900	1.22E-2	0.9900	1.24E-2	0.9900	1.13E-2	0.9900	1.14E-2
1.0000	1.24E-2	1.0000	1.26E-2	1.0000	1.21E-2	1.0000	1.19E-2
