Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
-0.1600	-4.49E-3	-0.1600	-2.61E-3	-0.1600	-3.18E-3	-0.1600	-3.00E-3	-0.1600	-1.21E-3
-0.1500	-4.40E-3	-0.1500	-2.56E-3	-0.1500	-3.15E-3	-0.1500	-3.00E-3	-0.1500	-1.20E-3
-0.1400	-4.31E-3	-0.1400	-2.52E-3	-0.1400	-3.11E-3	-0.1400	-3.00E-3	-0.1400	-1.18E-3
-0.1300	-4.22E-3	-0.1300	-2.47E-3	-0.1300	-3.06E-3	-0.1300	-2.99E-3	-0.1300	-1.17E-3
-0.1200	-4.12E-3	-0.1200	-2.42E-3	-0.1200	-3.01E-3	-0.1200	-2.99E-3	-0.1200	-1.16E-3
-0.1100	-4.01E-3	-0.1100	-2.37E-3	-0.1100	-2.95E-3	-0.1100	-2.99E-3	-0.1100	-1.14E-3
-0.1000	-3.89E-3	-0.1000	-2.31E-3	-0.1000	-2.89E-3	-0.1000	-2.99E-3	-0.1000	-1.13E-3
-0.0900	-3.77E-3	-0.0900	-2.25E-3	-0.0900	-2.82E-3	-0.0900	-2.99E-3	-0.0900	-1.11E-3
-0.0800	-3.64E-3	-0.0800	-2.19E-3	-0.0800	-2.75E-3	-0.0800	-2.98E-3	-0.0800	-1.09E-3
-0.0700	-3.50E-3	-0.0700	-2.13E-3	-0.0700	-2.67E-3	-0.0700	-2.97E-3	-0.0700	-1.07E-3
-0.0600	-3.37E-3	-0.0600	-2.06E-3	-0.0600	-2.59E-3	-0.0600	-2.97E-3	-0.0600	-1.04E-3
-0.0500	-3.23E-3	-0.0500	-2.00E-3	-0.0500	-2.50E-3	-0.0500	-2.96E-3	-0.0500	-1.02E-3
-0.0400	-3.08E-3	-0.0400	-1.93E-3	-0.0400	-2.40E-3	-0.0400	-2.94E-3	-0.0400	-9.88E-4
-0.0300	-2.94E-3	-0.0300	-1.86E-3	-0.0300	-2.30E-3	-0.0300	-2.93E-3	-0.0300	-9.59E-4
-0.0200	-2.79E-3	-0.0200	-1.79E-3	-0.0200	-2.20E-3	-0.0200	-2.92E-3	-0.0200	-9.28E-4
-0.0100	-2.64E-3	-0.0100	-1.71E-3	-0.0100	-2.09E-3	-0.0100	-2.90E-3	-0.0100	-8.97E-4
0.0000	-2.49E-3	0.0000	-1.64E-3	0.0000	-1.99E-3	0.0000	-2.88E-3	0.0000	-8.64E-4
0.0100	-2.34E-3	0.0100	-1.57E-3	0.0100	-1.88E-3	0.0100	-2.86E-3	0.0100	-8.29E-4
0.0200	-2.19E-3	0.0200	-1.49E-3	0.0200	-1.77E-3	0.0200	-2.84E-3	0.0200	-7.93E-4
0.0300	-2.04E-3	0.0300	-1.42E-3	0.0300	-1.66E-3	0.0300	-2.81E-3	0.0300	-7.56E-4
0.0400	-1.90E-3	0.0400	-1.34E-3	0.0400	-1.55E-3	0.0400	-2.78E-3	0.0400	-7.18E-4
